ANNO_RIL;IDAREA;IDPIANTA;SPECIE;DIAM1;DIAM2;DENDROT;RIL_H;H
2015;C0730;1;20;39;42;1;1;0.00
2015;C0730;2;20;39;42;1;1;0.00
